C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\center_2020_10_22_12_44_17_472.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\left_2020_10_22_12_44_17_472.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\right_2020_10_22_12_44_17_472.jpg, 0, 0, 0, 7.809125E-05
C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\center_2020_10_22_12_44_17_629.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\left_2020_10_22_12_44_17_629.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\right_2020_10_22_12_44_17_629.jpg, 0, 0, 0, 7.845338E-05
C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\center_2020_10_22_12_44_17_730.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\left_2020_10_22_12_44_17_730.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\right_2020_10_22_12_44_17_730.jpg, 0, 0, 0, 7.877364E-05
C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\center_2020_10_22_12_44_17_891.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\left_2020_10_22_12_44_17_891.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\right_2020_10_22_12_44_17_891.jpg, 0, 0, 0, 7.933339E-05
C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\center_2020_10_22_12_44_17_995.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\left_2020_10_22_12_44_17_995.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\right_2020_10_22_12_44_17_995.jpg, 0, 0, 0, 7.906636E-05
C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\center_2020_10_22_12_44_18_135.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\left_2020_10_22_12_44_18_135.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\right_2020_10_22_12_44_18_135.jpg, 0, 0, 0, 7.832603E-05
C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\center_2020_10_22_12_44_18_240.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\left_2020_10_22_12_44_18_240.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\right_2020_10_22_12_44_18_240.jpg, 0, 0, 0, 8.002325E-05
C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\center_2020_10_22_12_44_18_386.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\left_2020_10_22_12_44_18_386.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\right_2020_10_22_12_44_18_386.jpg, 0, 0, 0, 7.907553E-05
C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\center_2020_10_22_12_44_18_497.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\left_2020_10_22_12_44_18_497.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\right_2020_10_22_12_44_18_497.jpg, 0, 0, 0, 7.829688E-05
C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\center_2020_10_22_12_44_18_648.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\left_2020_10_22_12_44_18_648.jpg, C:\Users\wolfatthegate\Downloads\simulator-windows-64\IMG\right_2020_10_22_12_44_18_648.jpg, 0, 0, 0, 8.27894E-05
